,Date,Source,Statement,Verdict
57,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",Counties have over the past year sustained an average allocation of 24% of their total budgets to the health sector.,Verdict
58,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",Water coverage now stands at 63% from 57%.,Verdict
59,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ","Sanitation coverage is now at 25%, from 16%.",Verdict
60,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ","County governments have continued to adhere to the two-thirds gender principle. Three counties of Kilifi, Nyeri and Migori have gone higher and have a 50/50 representation of male and female CECs.",Verdict
61,November 2020,South African politician and businessman Herman Mashaba ,There are 15 million undocumented foreigners in South Africa,incorrect
62,November 2020,Moneyweb article ,"There are approximately 48,000 potholes across Johannesburg",understated
63,November 2020,President Uhuru Kenyatta ,"Eight claims ranging from school books and land to the business climate, household electricity and regional exports.",checked
64,November 2020,President Uhuru Kenyatta ,[The Covid-19 dusk-to-dawn curfew is] Kenya’s first ever nationwide curfew since independence.,mostly-correct
65,November 2020,President Uhuru Kenyatta ,"“As at the end of 2019 calendar year, we had been able to achieve a textbook-to-pupil ratio of 1:1 for grades 1 through to 3.”",mostly-correct
66,November 2020,President Uhuru Kenyatta ,"“During my administration, 4.5 million titles have been issued in the seven years since 2013.”",mostly-correct
67,November 2020,President Uhuru Kenyatta ,"Kenya currently ranks 56th globally and third in sub-Saharan Africa on the ease of doing business report, from a low of 136th globally in 2014.",correct
68,November 2020,President Uhuru Kenyatta ,"In March 2018, Kenya and Ghana were the first countries to not only sign but also ratify the landmark agreement creating the African Continental Free Trade Area.",correct
69,November 2020,President Uhuru Kenyatta ,The last mile connectivity programme crossed the 7.2 million household connections mark.,unproven
70,November 2020,President Uhuru Kenyatta ,Kenyan exports within the East African Community jumped to a six-year high in 2019.,correct
71,November 2020,President Uhuru Kenyatta ,For the second year running Kenya has achieved a transition rate of 100% from primary to secondary school.,incorrect
72,October 2020,Social media graphic ,"Four claims about national healthcare and education funding in Nigeria, and the cost of the country’s national assembly",checked
73,October 2020,Social media graphic ,Nigeria's healthcare budget is N46 billion for 200 million people.,incorrect
74,October 2020,Social media graphic ,Nigeria's education budget is N48 billion for 200 million people.,incorrect
75,October 2020,Social media graphic ,Nigeria's legislator's budget is N125 billion.,understated
76,October 2020,Social media graphic ,There are 465 federal legislators.,understated
77,October 2020,Citizen TV website ,Kenya’s last recession was recorded in 1992.,incorrect
78,19 October 2020,Mail & Guardian newspaper ,"Trade between Africa and China has grown rapidly, reaching US$166 billion in 2011.",mostly-correct
79,18 September 2020,Daily Maverick ,"Nearly 7,500 children under the age of five die annually in South Africa as a direct result of hunger.",unproven
80,1 September 2020,"Dianne Kohler Barnard, Democratic Alliance member of parliament ","The number of commercial farmers in South Africa has fallen from 120,000 to 38,000.",misleading
81,1 October 2020,"President Muhammadu Buhari, independence day speech ","Eight claims about Nigeria’s population, economy and history",checked
82,1 October 2020,"President Muhammadu Buhari, independence day speech ","At independence, Nigeria had a population of 45 million",correct
83,1 October 2020,"President Muhammadu Buhari, independence day speech ",Nigeria’s urban population at independence was approximately 7 million,correct
84,1 October 2020,"President Muhammadu Buhari, independence day speech ","‘Today, we grapple with multiple challenges with a population exceeding 200 million.’",correct
85,1 October 2020,"President Muhammadu Buhari, independence day speech ",52% of Nigeria’s current population lives in urban areas,correct
86,1 October 2020,"President Muhammadu Buhari, independence day speech ","‘For a cumulative 29 of our 60 years of existence as a nation, we have been under military rule.’",correct
87,1 October 2020,"President Muhammadu Buhari, independence day speech ",There has been a 60% drop in government revenue,unproven
88,1 October 2020,"President Muhammadu Buhari, independence day speech ",There was a 40% drop in oil prices,unproven
89,1 October 2020,"President Muhammadu Buhari, independence day speech ",‘It makes no sense for oil to be cheaper in Nigeria than in Saudi Arabia.’,misleading
90,29 September 2020,The South African Heart Association ,Cardiovascular disease is the leading cause of death in South Africa after HIV/Aids.,mostly-correct
91,May 2020,"Najib Balala, tourism minister ",Two claims about the contribution of tourism to Kenya’s economy,checked
92,May 2020,"Najib Balala, tourism minister ",Tourism forms 24% of Kenya's GDP,incorrect
93,May 2020,"Najib Balala, tourism minister ",Tourism employs about 1.6 million people.,mostly-correct
94,August 2020,Kenya’s president Uhuru Kenyatta ,Three claims about Covid-19 infection rates and the threshold for “totally” easing restrictions,checked
95,August 2020,Kenya’s president Uhuru Kenyatta ,Health experts have indicated that levels of the positivity rate countrywide have fallen from a high of 13% in June ...,incorrect
96,August 2020,Kenya’s president Uhuru Kenyatta ,… [positivity rates have fallen] to 8% in August.,Verdict
97,August 2020,Kenya’s president Uhuru Kenyatta ,… we have a chance to reach the 5% positivity rate recommended by the World Health Organization for a total reopening of our economy and country.,Verdict
98,July 2020,The World Bank ,Two claims about the state of education in Nigeria’s northern states.,checked
99,July 2020,The World Bank ,"In northern Nigeria, the lack of secondary schools is significantly greater with up to 10 primary schools for every secondary school.",incorrect
100,July 2020,The World Bank ,Close to 80% of poor households are in the north.,unproven
101,August 2020,Kenya’s former prime minister Raila Odinga ,Three claims about how revenue is shared between Nigeria’s three levels of government.,checked
102,August 2020,Kenya’s former prime minister Raila Odinga ,"In Nigeria … in terms of revenue share, 20% goes to the local government.",correct
103,August 2020,Kenya’s former prime minister Raila Odinga ,35% of revenue goes to states.,incorrect
104,August 2020,Kenya’s former prime minister Raila Odinga ,45% of revenue goes to the federal governments.,incorrect
105,14 September 2020,"Lerato Kganyago, South African television presenter and DJ ",Two claims about human trafficking in South Africa.,checked
106,14 September 2020,"Lerato Kganyago, South African television presenter and DJ ",At least a million children are trafficked each year in South Africa,exaggerated
107,14 September 2020,"Lerato Kganyago, South African television presenter and DJ ",South Africa is considered to be on the ‘Tier 2 Watchlist’ for human trafficking,incorrect
108,August 2020,"Kenya’s chief justice, David Maraga ","Six claims about the Kenyan judiciary, from its budget and number of cases to how many judges and magistrates serve Kenya’s population.",checked
109,August 2020,"Kenya’s chief justice, David Maraga ",The judiciary does not even get 1% of the national budget,correct
110,August 2020,"Kenya’s chief justice, David Maraga ","We have an average of 400,000 cases being filed in our courts every year",correct
111,August 2020,"Kenya’s chief justice, David Maraga ","We only dispose of about 300,000 cases",correct
112,August 2020,"Kenya’s chief justice, David Maraga ","In Kenya now with a population of about 48 million, we have one judge serving over 300,000 people",correct
113,August 2020,"Kenya’s chief justice, David Maraga ","We have one magistrate serving over 77,000 people",understated
114,August 2020,"Kenya’s chief justice, David Maraga ",There is a ‘global average’ for the number of judges and magistrates to number of people,unproven
115,28 July 2020,"Tosin Abdulsalam, environmental researcher ",Reports as recent as 2017 reported 92% prevalence of blood lead poisoning in children from some villages in the Nigerian state of Zamfara.,correct
116,August 2020,Online graphic ,Four claims about police violence in South Africa,checked
117,August 2020,Online graphic ,"Since 2002, South Africa’s police force has grown by 50%",mostly-correct
118,August 2020,Online graphic ,"In 2018, South African police service officers were accused of 217 cases of torture and 3,661 cases of assault",correct
119,August 2020,Online graphic ,"558 people were killed by the police in 2018, while 201 people died in police custody",correct
120,August 2020,Online graphic ,The South African Police Service kills three times more people per capita than the United States police force,unproven
121,August 2020,South African health minister Zweli Mkhize ,Three claims about alcohol consumption in South Africa,checked
122,August 2020,South African health minister Zweli Mkhize ,Only 31% of South Africans drink alcohol,Verdict
123,August 2020,South African health minister Zweli Mkhize ,South Africans drink more per person than anywhere else in Africa,Verdict
124,August 2020,South African health minister Zweli Mkhize ,South Africans are among the top drinkers in the world,Verdict
125,August 2020,The New York Times ,South Africa has the fifth-highest Covid-19 infection rate in the world.,incorrect
126,29 June 2020,"Fikile Mbalula, South Africa’s transport minister ",Filters can “eat any form of virus including coronavirus” on aeroplanes.,misleading
127,27 July 2020,The Daily Nation newspaper ,Obesity affects two in every five Kenyans,incorrect
128,August 2020,Independent Online ,Two claims about South Africa’s 2019/20 crime statistics,checked
129,August 2020,Independent Online ,KwaZulu-Natal is South Africa’s murder capital,misleading
130,August 2020,Independent Online ,Inanda is the rape capital of South Africa,misleading
131,June 2020,"Dr Obadiah Mailafia, former deputy governor of the Central Bank Of Nigeria ",Four claims on the Nigerian government’s revenue and debt payments.,checked
132,June 2020,"Dr Obadiah Mailafia, former deputy governor of the Central Bank Of Nigeria ",‘Our government is broke.’,misleading
133,June 2020,"Dr Obadiah Mailafia, former deputy governor of the Central Bank Of Nigeria ","During the first quarter, revenues stood at N950 billion.",incorrect
134,June 2020,"Dr Obadiah Mailafia, former deputy governor of the Central Bank Of Nigeria ",Debt servicing obligations stood at N943.12 billion.,correct
135,June 2020,"Dr Obadiah Mailafia, former deputy governor of the Central Bank Of Nigeria ",99% of revenue is being committed to debt servicing alone.,correct
136,7 July 2020,"Nigerian doctor and social media personality, Aproko Doctor ",Over 80% of all diseases in the world are transmitted by hand.,misleading
137,30 June 2020,"Mbuyiseni Ndlozi, Economic Freedom Fighters member of parliament ",The World Health Organization “unequivocally” declared that South Africa was not ready to lift the national Covid-19 lockdown. ,incorrect
138,July 2020,"The second-hand clothing lobby group, the Mitumba Association of Kenya ",The Covid-19 virus cannot survive on an inanimate object for more than nine days.,correct
139,July 2020,Kevin Pietersen ,South Africa’s tourism industry employs 7.5 million people. ,incorrect
140,2 July 2020,Political party the Economic Freedom Fighters ,The deaths of at least 10 South African children between the ages of 10 and 19 from Covid-19 “completely disproves the notion that young people and children are less susceptible to contracting the virus”. ,incorrect
141,12 July 2020,South African president Cyril Ramaphosa ,Two claims about South Africa’s ability to manufacture and develop vaccines. ,checked
142,12 July 2020,South African president Cyril Ramaphosa ,South Africa “has an established vaccine manufacturing capability”,Verdict
143,12 July 2020,South African president Cyril Ramaphosa ,South Africa has “expertise in the development and trial of a range of vaccines”,Verdict
144,June 2020,"Ukur Yatani, Kenya’s cabinet secretary for the treasury ",The standard for tax expenditures is about 2% of gross domestic product.,incorrect
145,19 June 2020,TVC News ,Three claims about sickle cell disease.,checked
146,19 June 2020,TVC News ,‘Nigeria currently has the highest burden worldwide of sickle cell disease.’,correct
147,19 June 2020,TVC News ,‘Nigeria bears 50% of the global sickle cell burden.’,incorrect
148,19 June 2020,TVC News ,"'For every two babies born with sickle cell in the world, one is a Nigerian.’",incorrect
149,June 2020,"Leon Schreiber, Democratic Alliance shadow minister for public service and administration ","Out of every R1 paid in taxes, 58 cents goes towards paying the salaries of public servants",mostly-correct
150,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ","Six claims criticising the administration, following the announcement of the budget for the 2020/21 financial year. ",checked
151,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ",‘We are dealing with a situation where the amount set aside for repayment of the debt is much higher than all the money that Yatani is putting together for development expenditure.’,correct
152,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ","‘Parliament is getting KSh38 billion, the judiciary is getting KSh18 billion, basically 50% [of parliament’s allocation].’",mostly-correct
153,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ",‘Remember the judiciary sits six days in a week …’,incorrect
154,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ",‘... and parliament sits three days a week.’,misleading
155,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ","‘The Judiciary has “almost 7,000 employees”.’",incorrect
156,11 June 2020 in an interview on KTN News,"Musalia Mudavadi, party leader, Amani National Congress ","‘Compare that with parliament with about 1,000 employees.’",incorrect
157,13 June 2020,South African president Cyril Ramaphosa ,As many as “51% of South African women have experienced violence at the hands of someone with whom they are in a relationship”.,incorrect
158,12 June 2020,Nigerian president Muhammadu Buhari ,Eight claims about current government achievements. ,checked
159,12 June 2020,Nigerian president Muhammadu Buhari ,'We have witnessed 11 quarters of consecutive GDP growth since exiting recession.' ,Verdict
160,12 June 2020,Nigerian president Muhammadu Buhari ,‘The GDP grew from 1.91% in 2018 to 2.27% in 2019 but declined to 1.87% in the first quarter of 2020 as a result of the decline in global economic activities due to the Covid-19 pandemic.’ ,Verdict
161,12 June 2020,Nigerian president Muhammadu Buhari ,‘Every single economy in the world has suffered a decline.’ ,Verdict
162,12 June 2020,Nigerian president Muhammadu Buhari ,‘The external reserves grew from $33.42 billion on 29 April 2020 to about $36 billion in May 2020 …” ,Verdict
163,12 June 2020,Nigerian president Muhammadu Buhari ,‘[This amount in reserves] is enough to finance seven months of import commitments.’ ,Verdict
164,12 June 2020,Nigerian president Muhammadu Buhari ,‘Our revenue from cocoa and sesame seed increased by $79.4 million and $153 million.’ ,Verdict
165,12 June 2020,Nigerian president Muhammadu Buhari ,"‘Nigeria has risen by 25 places on the World Bank’s ease of doing business ranking, from 146th to 131st.’ ",Verdict
166,12 June 2020,Nigerian president Muhammadu Buhari ,‘[Nigeria] is now rated as one of the top ten reforming countries.’ ,Verdict
167,June 2020 ,"Bheki Cele, South African minister of police ","34,000 hospital beds in South Africa are being taken up by alcohol-related cases.",unproven
168,1 June 2020,Kenyan president Uhuru Kenyatta ,Four claims about Kenyan government achievements under Kenyatta.,checked
169,1 June 2020,Kenyan president Uhuru Kenyatta ,‘We have connected 99% of all schools to electricity.’,incorrect
170,1 June 2020,Kenyan president Uhuru Kenyatta ,"‘After 78 years of colonial rule and 50 years of the independence administrations, a total of 4.5 million households were connected to electricity.’",unproven
171,1 June 2020,Kenyan president Uhuru Kenyatta ,"“But from 2013, and in only 7 years of my presidency, we have connected close to 3.5 million households, bringing the number of households connected close to 8 million.”",unproven
172,1 June 2020,Kenyan president Uhuru Kenyatta ,"‘But in only seven years, an additional 4.5 million title deeds have been issued under my administration.’",mostly-correct
173,25 June 2020,"Lindiwe Zulu, South Africa’s minister of social development ",South Africa is “number one in the killing of women” internationally. ,incorrect
174,June 2020,Several Nigerian media publications ,Nigeria has discovered a Covid-19 vaccine,incorrect
175,May 2020,"Sam Ohuabunwa, president of the Pharmaceutical Society of Nigeria ",Four claims about research and vaccines in Nigeria,checked
176,May 2020,"Sam Ohuabunwa, president of the Pharmaceutical Society of Nigeria ",‘In the 1970s and 1980s we were producing vaccines.’,correct
177,May 2020,"Sam Ohuabunwa, president of the Pharmaceutical Society of Nigeria ",‘… in 2020 we are not producing any [vaccines].’,correct
178,May 2020,"Sam Ohuabunwa, president of the Pharmaceutical Society of Nigeria ",‘Nigeria has 69 research institutes.’,unproven
179,May 2020,"Sam Ohuabunwa, president of the Pharmaceutical Society of Nigeria ",‘No single Covid-19 research has been sponsored in Nigeria’.,incorrect
180,29 April 2020,"Yusuf Abramjee, founder of Tax Justice South Africa ",South Africa is losing R35 million every day in tax revenue because of the ban on cigarettes. ,mostly-correct
181,"Madaraka Day speech, 1 June 2020",Kenyan president Uhuru Kenyatta ,Three claims about paved roads built in Kenya,checked
182,"Madaraka Day speech, 1 June 2020",Kenyan president Uhuru Kenyatta ,"‘At independence, we had only 1,800 kilometres of tarmacked roads.’",correct
183,"Madaraka Day speech, 1 June 2020",Kenyan president Uhuru Kenyatta ,"‘After independence, our Founding Fathers built an extra 11,200 kilometres of tarmacked roads. This was done in a period of 50 years by President Jomo Kenyatta, President Moi and President Kibaki, at an average of 224 kilometres per year.’",incorrect
184,"Madaraka Day speech, 1 June 2020",Kenyan president Uhuru Kenyatta ,"‘My administration has built 1,000 kilometres of tarmacked roads every year.’",unproven
185,March and April 2020,Twitter ,Depo-Provera increases women’s risk of HIV infection by 40%.,incorrect
186,October 2019.,"Ukur Yatani, Kenya’s finance minister ",Revenue has been under-performing for the last 10 years.,correct
187,,,"There are reports saying that 5G dosage of radiation is 10,000 times higher than [that of] 3G",incorrect
188,,,“This thing [5G] is very harsh to people who are very electrosensitive.”,unproven
189,22 April 2020,Tanzanian president John Magufuli ,"Inhaling steam over 100°C will “disintegrate” the coronavirus, because it is “fat”.",incorrect
190, February 2020,The Standard newspaper,"In Kenya, chances of women living to more than 100 years are almost three times that of men.",incorrect
191,8 April 2020,Former Nigerian vice president Atiku Abubakar ,Six claims about the Nigerian economy.,checked
192,8 April 2020,Former Nigerian vice president Atiku Abubakar ,"Before the novel coronavirus pandemic hit the globe, Nigeria spent 42% of its earnings on debt servicing.",mostly-correct
193,8 April 2020,Former Nigerian vice president Atiku Abubakar ,"The United Nations Economic Commission for Africa is projecting that Africa’s growth will drop to 1.8%, and perhaps lower.",correct
194,8 April 2020,Former Nigerian vice president Atiku Abubakar ,The price of oil was lower when president Obasanjo and Abubakar assumed office on 29 May 1999 than it is today ...,mostly-correct
195,8 April 2020,Former Nigerian vice president Atiku Abubakar ,… yet they paid off Nigeria’s entire foreign debt.,incorrect
196,8 April 2020,Former Nigerian vice president Atiku Abubakar ,"Nigeria has devoted N37 billion to renovating the national assembly complex, which was built from the scratch for less than 20% of that amount.",unproven
197,8 April 2020,Former Nigerian vice president Atiku Abubakar ,N13 billion was devoted to the State House clinic in the last five years.,incorrect
198,2 April 2020,South African government on Twitter ,"Alcohol weakens the immune system, making it difficult for the body to fight infections such as Covid-19.",correct
199, February 2020,The Star newspaper,"All the ordinary revenue collected by the Kenya Revenue Authority is used to repay the country’s local and foreign loans, currently worth more than KSh6 trillion.",incorrect
200,2020,WhatsApp message ,South Africa has only 800 ICU beds in the whole country.,incorrect
201,February 2020,Business Daily newspaper ,"39% of Kenya’s youth are unemployed, according to census data",incorrect
202,18 March 2020,"Mzwandile Masina, mayor of Ekurhuleni ",Interferon alpha-2b is a vaccine for the new coronavirus.,incorrect
203,February 2020,Advocacy organisation Rape Crisis ,Two claims about rape statistics in South Africa,checked
204,February 2020,Advocacy organisation Rape Crisis ,40% of South African women will be raped in their lifetime,unproven
205,February 2020,Advocacy organisation Rape Crisis ,Only 8.6% of rape perpetrators are convicted,misleading
206,February 2020,Governor Kayode Fayemi ,Three claims about education in Ekiti state in southwestern Nigeria,checked
207,February 2020,Governor Kayode Fayemi ,"In 2014, we had 96% enrolment in Ekiti",incorrect
208,February 2020,Governor Kayode Fayemi ,"[But] in 2018, when I came back, [enrolment in] Ekiti was the least in the South West",incorrect
209,February 2020,Governor Kayode Fayemi ,"But today, we have raised enrolment to over 75% because of free education",unproven
210,,,"Meat with bubbles and white spots is infected with tuberculosis, and dangerous to eat.",mostly-correct
211,March 2019,Getaway magazine ,Two claims about the spekboom plant,checked
212,March 2019,Getaway magazine ,Spekboom can sequester more than four tonnes of carbon dioxide per year per hectare planted.,misleading
213,March 2019,Getaway magazine ,Spekboom is more effective than the Amazon rainforest at sucking carbon dioxide out of the atmosphere.,incorrect
214,January 2020,Kenyan president Uhuru Kenyatta ,"Three claims about micro, small and medium enterprises (MSMEs)",checked
215,January 2020,Kenyan president Uhuru Kenyatta ,The MSME sector accounts for more than 80% of all businesses in Kenya.,unproven
216,January 2020,Kenyan president Uhuru Kenyatta ,MSMEs create around 75% of the jobs in the economy.,unproven
217,January 2020,Kenyan president Uhuru Kenyatta ,The contribution of MSMEs to the country's gross domestic product is currently at 30%.,unproven
218, January 2020,Gauteng MEC Bandile Masuku,South Africa’s caesarean rates are twice the globally accepted average.,incorrect
219,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,Eight claims about South Africa's progress,checked
220,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,"“To curb water wastage, the Department of Water and Sanitation has begun its programme of training 15,000 young people as artisans.”",Verdict
221,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,“There has been no load shedding since August last year.”,Verdict
222,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,"“At the level of gender, at senior management level males remain dominant at 67.6% and females at 32.4%.”",Verdict
223,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,"“Government is actively involved in the property sector, having provided more than 4 million houses since 1994.”",Verdict
224,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,"“There are currently almost one million students who are enrolled in higher education, up from 500,000 in 1994.”",Verdict
225,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,“Today we have nearly 1 million children who are participating in early childhood development facilities.”,Verdict
226,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,“Every month 17.5 million social grants are provided to South Africans.”,Verdict
227,2016 to 2019,Former South African president Jacob Zuma and current president Cyril Ramaphosa ,"“Since we launched the [Safe] initiative, 699 schools have been provided with safe and appropriate sanitation facilities and projects and a further 1,150 schools are either in planning, design or construction stages.”",Verdict
228,21 January 2020,A Twitter user ,“40% of the medicines sold in Africa are fake.”,unproven
229,2 January 2020,"Dr Obadiah Mailafia, former deputy governor of Nigeria’s central bank ",Youth unemployment in Nigeria is almost 70%.,incorrect
230,2019,Facebook post ,"Over 4,000 South African police officers are convicted criminals.",unproven
231,January 2020,Vice president Yemi Osinbajo ,Three claims about cancer in Nigeria,checked
232,January 2020,Vice president Yemi Osinbajo ,"The World Health Organization reports that in 2018, 4% of deaths in Nigeria were caused by cancer.",correct
233,January 2020,Vice president Yemi Osinbajo ,"Of over 100,000 cases that are reported in Nigeria, about 72,000 die annually of cancer.",mostly-correct
234,January 2020,Vice president Yemi Osinbajo ,Nigeria’s cancer cases are about 15% of cases in West Africa.,incorrect
235,January 2019,Eskom website ,Two claims about Eskom’s electricity generation.,checked
236,January 2019,Eskom website ,Eskom generates approximately 95% of the electricity used in South Africa,mostly-correct
237,January 2019,Eskom website ,Claim: Eskom generates … approximately 45% of the electricity used in Africa.,incorrect
238, president of the Nigerian Stroke Organisation,Prof Abayomi Ogun,Three claims about burden of stroke in Nigeria,checked
