Statement,Verdict
"""Over 70% of the people support Roe v. Wade. Over 90% of the people support funding for Planned Parenthood and making sure women can get the health care they need."" ",half-true
"""In WI, over 79% of Title X patients rely on Planned Parenthood for their basic health care.""",mostly-true
"Candidates who are supporting the Green New Deal are ""promoting abortion in third world countries to control the population!""  ",barely-true
"Schuyler VanValkenburg co-sponsored a bill that would have ""allowed abortion until the moment of birth."" ",FALSE
"Says popular food and drink items such as Kraft, Pepsi and Nestle use a flavor enhancement company that ""puts aborted baby fetus cells in their food and drinks."" ",FALSE
"Says Steve Bullock “failed to act” when his “most senior political aide was caught sexually harassing women. Bullock knew about the harassment but said nothing, remaining silent when the aide took another job where he harassed women again.”",half-true
"As vice president, Kamala Harris would “defund, dismantle, and dissolve police departments.”",FALSE
"Says Joe Biden told Americans, ‘If you elect me, your taxes are going to be raised, not cut.”",barely-true
"Postmaster General Louis DeJoy “gave $400,000 to Republicans just this year” and has “between $30 and $75 million in assets of direct competitors to the United States Postal Service.”",mostly-true
“Trump lost a trade war that he started.”,mostly-true
"""Trump bailed out Wall Street, but not Main Street.""",FALSE
Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,FALSE
Says Joe Biden “helps build Afghanistan’s pipeline.”,FALSE
"Says Joe Biden and Barack Obama “directly participated in a plot to have #SealTeam6 MURDERED, then arranged a massive cash deal as part of a cover up.”",pants-fire
"A list of 11 names are “Marines that gave their lives this week for everyone in this country. There is no media for them, not even a mention of their names.”",FALSE
"Says Joe Biden ""murdered U.S. Navy Seals.""",FALSE
"""We have spent $7 trillion, trillion with a T, $7 trillion in the Middle East.""",half-true
"""We’re already bombing seven countries.""",TRUE
"""I can tell you that the enhanced interrogation techniques that have since been banned by this administration — specifically waterboarding — work.""",FALSE
"When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture.""",TRUE
"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces."" ",TRUE
"The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield."" ",FALSE
"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe.""",mostly-true
" Said President Barack Obama ""said he was going to stop (signature strikes).""",barely-true
"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001.""",TRUE
"The CIA paid two psychologists $81 million ""to develop and run their torture program.""",mostly-true
"The United States ""decided waterboarding was torture back when we court-martialed American soldiers for waterboarding Philippine insurgents in the Philippine revolution.""",TRUE
"Says Saddam Hussein ""had a 10-year relationship with al-Qaida.""",FALSE
"The United States is at ""historic record highs"" of individuals being apprehended on the border from countries with terrorist ties such as ""Pakistan or Afghanistan or Syria.""",pants-fire
"By 2009, ""dozens of senior terrorists had been taken off the battlefield"" by drones.",TRUE
"In February, John McCain ""suggested"" the Bergdahl-Taliban swap that he now calls ""outrageous and dangerous.""",mostly-true
"""More than 1,000 American soldiers have lost their lives in Afghanistan in the last 27 months. This is more than the combined total of the nine years before.""",FALSE
"""More than 40,000 troops are still stationed in Afghanistan with no clear objective. Even in the best case, by the end of the year at least 10,000 American soldiers will still be on the ground.""",half-true
"""We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nation’s history.""",mostly-true
"""There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate."" ",TRUE
"""The FL Guard has defended our freedom in Afghanistan, Iraq, and put their lives at risk; now the fed govt is going to cut their pay 20%.""",half-true
"Wars in Afghanistan and Iraq have cost every U.S. family $45,000.",half-true
Says only about 250 Texans have been killed in action since 9/11.,FALSE
"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",mostly-true
"""We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.""",FALSE
"Says that Tennessee Gov. Bill Haslam ""has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.""",pants-fire
"Rhode Island has the ""the second-most heavily deployed National Guard in the United States.""",TRUE
"Says Donald Trump was seen ""looking deliberately over a disabled child's head, ignoring his outstretched hand.""",pants-fire
"""Last year was one of the deadliest years ever for law enforcement officers.""",FALSE
"Says extras are needed to portray aliens in a Star Wars movie being shot near Rosenberg, Texas.",pants-fire
"Proposed NC law for body camera footage gives police ""broad authority to keep video footage secret – even from individuals who are filmed.""",TRUE
"""The 'Denver Post' has actually hired an editor to promote pot.""",FALSE
"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",barely-true
"“Minority farmers get big bonus, white ones get none,” because of Democrats.",half-true
Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”,barely-true
"Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",barely-true
Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,FALSE
"Farm bankruptcies are ""at an eight-year high.""",TRUE
Says Joe Biden “wants American farmers to put their farmland into Gvt ‘land banks.’ Gvt would then tell farmers what ‘sustainable’ plants they could grow.”,half-true
Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”,half-true
"Says under U.S. Rep. Alexandria Ocasio-Cortez’s Green New Deal proposal, “Cows are out.”",FALSE
Says Kamala Harris wants to eliminate beef.,FALSE
"Says Donald Trump used farmers’ struggles “to push through a multi-billion dollar bailout program that was nothing more than a handout for large agricultural companies.""",barely-true
"""Under three years of my administration, net farm income has already gone up nearly 50%.""",mostly-true
"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""",half-true
Says a meat shortage is “not expected”,half-true
“Trump’s farmer bailout is now twice the size of Obama’s GM bailout. The big difference is GM paid their bailout back — with interest.”,barely-true
"Says Gov. Tony Evers ""proposed raising taxes on the agriculture industry to pay for expanded welfare programs.""",barely-true
"Says federal regulation of the wolf population has led to attacks on livestock, driving down production, leading to dairy farms going out of business.",pants-fire
"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food."" ",half-true
"Americans ""would run out of avocados in three weeks"" if imports from Mexico were stopped due to a border closure. ",mostly-true
"""Farmer suicide rates are as high as they have been since the Great Depression.""",FALSE
"Farmers are declaring bankruptcy ""in record numbers"" and ""the median income for U.S. farm households was -$1,548 in 2018.""",barely-true
"""We have record bankruptcies in farming country.""",barely-true
"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",TRUE
"""By rubber-stamping the Bayer-Monsanto merger, the Justice Department is handing control over one quarter of the world's seeds and pesticides market to one ginormous agribusiness."" ",half-true
"Says Stacey Abrams said ""Who needs agriculture when you can just get food at the store?""",pants-fire
"""Wisconsin lost over 600 farms last year & our farmers can't afford the #TrumpShutdown.""",mostly-true
"Says Tony Evers will ""raise property taxes, raise income taxes and raise gas taxes by as much as a dollar a gallon.""",half-true
"Says Matt Rosendale ""consistently supported land use rules that would help developers like him and hurt farmers in Montana.""",half-true
"""America’s hard-working agricultural producers … have taken a disproportionate hit when it comes to illegal retaliatory tariffs.""",mostly-true
"""The price of soybeans has fallen 50% since 5 years before the election. A big reason is bad (terrible) trade deals with other countries."" ",barely-true
NC liquor stores were deemed essential “because we have a lot of people who are chemically dependent on alcohol and if we suddenly cut off their access they would go into withdrawal and flood the emergency rooms.”,barely-true
Says certain states are banning the sale of alcohol.,FALSE
"Says Nancy Pelosi was ""asked to leave a children’s benefit after drunken outburst.""",pants-fire
"""One in eight American adults, or 12.7 percent of the U.S population, now meets diagnostic criteria for alcohol use disorder.""",half-true
Says a photo shows a driver and passengers wearing moose heads in a truck with a man strapped to the roof that caused 16 accidents on I-35.,pants-fire
"Says a photo shows Beto O’Rourke ""in college drunk and pissing his pants.""",pants-fire
"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them",TRUE
"""We need an ID"" to ""buy a beer."" ",barely-true
"House Bill 991 ""could lead to the opening of as many as 2,000 new liquor stores.""",TRUE
"Expanding the sale of full-strength beer and wine to grocery stores is ""good for everybody."" ",half-true
"By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving. ",mostly-true
Drinking champagne could help prevent Alzheimer’s and other forms of dementia.,FALSE
Brewpubs can't sell growlers of their beer to customers. ,TRUE
"By allowing brewpubs to sell beer, Georgia could become like Mexico with only a couple of manufacturers controlling all aspects of market. ",FALSE
"The state of Florida has seen ""double-digit drops"" in alcohol use among teens.",mostly-true
"""We've seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21.""",FALSE
Georgia is one of only five states where breweries can’t sell you a pint of beer to drink on premise or sell you a six-pack to go. ,mostly-true
"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""",TRUE
"""My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.""",mostly-true
New Glarus Brewing Co.’s Spotted Cow is available only in Wisconsin.,TRUE
"Texas prosecutor Rosemary Lehmberg purchased ""72 bottles of vodka in just one store alone, in just over a year.""",TRUE
"""In states where beer is unregulated, the per capita production is significantly higher.""",barely-true
"""Higher beer production and higher consumption go hand-in-hand.""",barely-true
"A Koch brothers group is ""going to college campuses, giving away free booze to try to bribe young folks out of getting health insurance.""",half-true
"Says Stefani Carter ""repeatedly used her campaign contributors’ donations to rent margarita machines for our state house office.""",mostly-true
"""A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions.""",TRUE
"""Rhode Island’s teen binge drinking rate is double the national average.""",FALSE
"""The 'Denver Post' has actually hired an editor to promote pot.""",FALSE
"""Things like … having Friday classes have been shown to be very effective on college campuses"" in reducing drinking.",half-true
"Wisconsin’s criminal threshold for drunken-driving is ""way out of line"" with ""states surrounding us,"" which ""have the second offense as a felony.""",barely-true
"""COVID-19 Jab: They skipped all animal trials because all animals were dying and went directly to people.""",FALSE
Bull sharks were released in an Arkansas river.,FALSE
“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”,FALSE
“These ‘peaceful’ protesters burned these horses to death.”,FALSE
Zoo animals were released during protests in Chicago.,pants-fire
Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,FALSE
The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans. ,FALSE
Says a photo shows an elephant carrying a lion cub to a pool of water so it wouldn’t die.,pants-fire
Says a teenage Pete Buttigieg was arrested in the late 1990s for killing dogs.,pants-fire
"An Alton, Ill., man caught a 736-pound Giant Mekong catfish in the Mississippi River.",pants-fire
Says a video shows a fox allowing itself “to feed koala babies in Australia.”,FALSE
Says a 392-year-old shark was discovered in the Arctic Ocean ,half-true
"Says federal regulation of the wolf population has led to attacks on livestock, driving down production, leading to dairy farms going out of business.",pants-fire
"Says a photo that shows a group of dead, scorched sheep is from Australia wildfires.",barely-true
A photo of a horse being pulled through a scorched ranch is from the Australia wildfires.,barely-true
A photo of a deer standing near a burned down residence is from the Australia wildfires.,barely-true
A photo of a burned cat is from the Australia wildfires. ,barely-true
A collection of photos shows animals caught in the Australia wildfires.,barely-true
An image shows animals burning in the Australia wildfires  ,barely-true
"Says Koalas are ""functionally extinct"" as bushfires in Australia continue to destroy their habitat.",barely-true
Says a photo shows a pack of wolves walking in a single line in the snow being led by the sick. ,FALSE
Says a photo shows a driver and passengers wearing moose heads in a truck with a man strapped to the roof that caused 16 accidents on I-35.,pants-fire
Red Bull contains bull sperm.,FALSE
Says a photo shows a dog who has slept by his master’s grave every night for seven years.,FALSE
"""A duck’s quack doesn’t echo and nobody can figure out why.""",FALSE
"Republicans on the budget-writing committee ""did nothing"" to address oversight oflarge-scale farms, ""as literal manure is coming out of people’s faucets. ",half-true
"Says a deer became ""riddled with tumors from eating plants sprayed with Monsanto’s Roundup.""",FALSE
"""Seismic airgun blasting (used for energy exploration) is ... 16,000 times louder than"" a conventional airhorn.",mostly-true
"""Hunters contribute more than $500 million"" to West Virginia.",mostly-true
"Says 60 percent of Austin’s ""waterways are found to be contaminated with fecal matter and deemed unsafe to swim.""",half-true
"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism."" ",mostly-true
"""Now it’s official: FDA announced that vaccines are causing autism.""",pants-fire
"As the number of vaccines administered to children has increased in the United States, so has the autism rate. ",FALSE
"The California governor ""says yes to poisoning more children with mercury and aluminum"" in vaccines.",FALSE
"Under legislation that has cleared the Georgia House, some children who are ""legal refugees"" could obtain state scholarships to attend private schools.  ",TRUE
"""We have record bankruptcies in farming country.""",barely-true
"Health care is the ""No. 1 reason for bankruptcy.""",half-true
"Donald Trump’s ""golf course on the island defaulted, like so many of his other failed business schemes. The failure left Puerto Rican taxpayers with a nearly $33 million bill.""",half-true
"""Because of Obamacare, Medicare is going broke.""",pants-fire
"""Back in the Great Recession, when millions of  jobs across America hung in the balance, Donald Trump said rescuing the auto industry didn’t really matter very much. He said, and I quote again, ‘Let it go.’ "" ",pants-fire
"Says Donald Trump has ""bankrupt four separate businesses.""",mostly-true
"""In 2006, Donald Trump was hoping for a real estate crash.""",mostly-true
"""The only two (Donald Trump tax returns) we have show that he hasn't paid a penny in taxes."" ",barely-true
"""Almost 100,000 people left Puerto Rico last year.""",mostly-true
"Says Paul Ryan backs a proposal that would be a ""bailout"" of Puerto Rico. ",half-true
"""We knew Strom Thurmond had proposed"" the amendment that blocked Puerto Rico’s use of Chapter 9 bankruptcy protection.",mostly-true
"""I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors."" ",FALSE
"In the 38 Studios deal, ""Wall Street investors took a risk, and went bust.""",FALSE
"Peter Kilmartin voted for the 38 Studios loan guarantee and his State House job was to ""twist [legislator’s] arms to vote for deals like this.""",barely-true
"""PolitiFact Texas gave"" a David Dewhurst TV ad ""a ‘Pants-on-Fire’ rating as an outrageous lie.""",half-true
"Dan Patrick ""got caught not paying his taxes"" and ""pocketed his employees’ payroll taxes.""",half-true
"Dan Patrick ""changed his name from Danny Goeb to hide from"" his ""debts.""",pants-fire
"The federal Consumer Financial Protection Bureau is ""collecting financial information, monitoring financial information of millions of Americans"" without their knowledge and ""storing it for up to 10 years."" ",half-true
"Economic Development Commission Executive Director Keith Stokes ""sent me a letter and he said the taxpayers will never be on the hook for these bonds"" for 38 Studios.",TRUE
"""No one knows who bought the [38 Studios] bonds. And there was some language put in the bond offer that they must remain anonymous.""",half-true
"""Sheldon Whitehouse [got] a secret closed-door briefing, warning of the [2008 economic] crash.""",pants-fire
"Says that Mitt Romney's response to the crisis in the auto industry was, ""Let Detroit go bankrupt.""",half-true
"""The largest number of bankruptcies in our country are really as a result of health care.""",half-true
"""There are a lot of casinos across the country that have gone bankrupt.""",TRUE
"""Rhode Island is leading our nation in foreclosures.""",FALSE
Georgia has had ʺmore bank failures than any other state.ʺ,TRUE
"""This is the first time in our state, and one of the first times in the country, where benefit reductions . . . has happened to people who are retired.""",half-true
"""Mike Trainor...still owes $250,000 to the state.""",mostly-true
"""The country's bankrupt."" ",FALSE
"Central Falls ""schools are overfunded by state money by as much as $8 million.""",half-true
"""There are only 18 minutes of total action in an average baseball game.""",mostly-true
"The NFL is ""getting massive tax breaks.""",mostly-true
"""Remember that developers are forced to use the ‘195 land union’ contractors, so tap an extra $10 million into any construction project."" ",FALSE
Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.,mostly-true
"""Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.""",TRUE
"Thirty U.S. cities have Triple A baseball teams and ""virtually everyone of them [is] playing in government owned ballparks.""",TRUE
"Peter Kilmartin voted for the 38 Studios loan guarantee and his State House job was to ""twist [legislator’s] arms to vote for deals like this.""",barely-true
"The economic impact of new Atlanta Braves stadium includes 9,241 new jobs and $295 million in wages.",barely-true
"""These 60 acres (the Atlanta Braves want to build a stadium on) have produced zero SPLOST money for parks and recreation, have produced zero money for education.""   ",mostly-true
"The deficit this year could pay ""all of the 2013 salaries of every professional baseball player for the next 248 years.""",TRUE
"The majority of public funding for the Marlins stadium ""came from hotel taxes, the burden of which is incurred by tourists who are visiting our city, NOT the resident taxpayers.""",half-true
"""The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.""",TRUE
"""Rooting for the Red Sox is like rooting for the drug companies.""",TRUE
Says his barehanded catch posted on YouTube is real.,pants-fire
"Says ""$30 million gap"" in stadium funding forced the Portland Beavers to leave.",half-true
"""The first professional baseball team was from an Ohio city.""",TRUE
"""I remember one of [Curt Schilling's] teammates said he painted his sock, the bloody sock.""",FALSE
"The Tampa Bay Rays' ""prices have been judged the most affordable in all of professional sports.""",mostly-true
"The final pitch of Don Larsen's perfect game in the 1956 World Series ""was a foot and half probably high and outside.""",half-true
"""Baseball and insurance are the only industries exempt from antitrust laws.""",FALSE
"""Mathematically, the White Sox can still get in the playoffs.""",TRUE
On which team he's rooting for in the World Series.,half-flip
"The Red Sox waited ""87 long years"" to win the World Series.",FALSE
"Says she is ranked ""one of the most bipartisan senators in the Senate in the last 25 years.""",mostly-true
"""Candidate Slotkin had presented herself as a moderate and as someone who’d be independent-minded, but her time in office was making it increasingly clear that no, she was very partisan, voting 96% of the time with Speaker Pelosi.""",barely-true
"“House Democrats have passed more than 275 bipartisan bills this Congress.""",mostly-true
"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz. ",TRUE
"Says Democratic North Carolina House candidate Dan McCready ""took money from the Pelosi crowd"" and is ""with them"" in their agenda and ""wants to repeal your tax cut."" ",half-true
"Says New Jersey U.S. Rep. Leonard Lance was ""rated among the most bipartisan in Congress."" ",mostly-true
On considering U.S. Supreme Court nominees. ,half-flip
"""Kirsten Gillibrand has put forward 331 bills since she's been in Congress. Do you know how many of them have been passed into law? Zero!""",half-true
"Says Glenn Grothman ""is the single-most partisan member of the House."" ",half-true
"Says special counsel Robert Mueller ""has brought in Democrat campaign donors at a very high level"" on his team of lawyers.",half-true
"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",TRUE
"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""",mostly-true
"Says there is a ""traditional 60-vote threshold for confirming Supreme Court nominees.""",barely-true
"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",half-true
"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",TRUE
"Says an election clerk in Green Bay refused to allow early voting on the UW-Green Bay campus because she ""was afraid it would help Democrats,"" showing ""outrageous partisan bias.""",half-true
"""400 bills have my name on them either as a sponsor or a co-sponsor. You don’t get that done unless you work with folks on the other side.""",half-true
Creflo Dollar has endorsed Republican Donald Trump for president.,pants-fire
"Says that Republican Darryl Glenn has described Democrats as ""evil"" and has said he's ""tired of hearing about Republicans reaching across the aisle.""",TRUE
"Says Scott Walker's ""listening sessions"" are ""invite-only and excluding the press."" ",TRUE
Says President Bill Clinton did not sign NAFTA. ,FALSE
"Says ""Michael Bennet votes for President Obama's agenda 98 percent of the time. Hardly independent, hardly bipartisan."" ",half-true
"Says New Hampshire’s second congressional district includes two counties where ""almost 5 percent if not more"" of residents are enrolled in the state’s expanded Medicaid program.",TRUE
"""For more than 80 years, there has not been a nomination and confirmation of a Supreme Court Justice in a presidential election year. This is simply not the time to break with decades of bipartisan practice.""",half-true
"""There's never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",TRUE
"""Every piece of legislation, just about, that I ever introduced (in the U.S. Senate) had a Republican co-sponsor."" ",FALSE
Says President Barack Obama did not invite a Republican senator to dine at the White House until his fifth year in office. ,FALSE
"Will Hurd ""tends to have a 96 percent straight Republican, straight party voting record.""",TRUE
Six thousand people have sought addiction treatment through expanded Medicaid.,FALSE
"The Hyde Amendment ""language was in the (human trafficking) bill. The Democratic sponsor admits it was in the bill, and she voted for it."" ",mostly-true
Says the nation is locked down and there’s “a wide open border.”,FALSE
“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,barely-true
“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,TRUE
“We spent billions on a border wall and quit when it was 90% finished.”,barely-true
"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.”",half-true
"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",barely-true
“We’re sending back the vast majority of the families that are coming.”,FALSE
Passports aren’t required to enter the United States from Mexico and Canada.,barely-true
"""Illegal border crossings are up 173% from 1 year ago and 28% since January when President Biden stopped the wall & deportations and started catch & release.""",half-true
The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,half-true
“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”,FALSE
“The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.”,barely-true
"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",barely-true
James Biden “built the cages” and “(the Bidens) made millions from it.”,pants-fire
"Says Karen Handel voted with Donald Trump, ""gutting health care for millions, supporting horrific child separation policies"" and for ""abortion bans.""",half-true
"“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”",half-true
"Speaking about border apprehensions, said “We have some of the best numbers we've ever had. Southern border, the best numbers we've ever had.”",half-true
"President Trump ""hasn’t built any new (border) wall"" during his time in office.",mostly-true
"Says Thom Tillis voted to support Trump’s emergency declaration to fund the border wall even though it would ""raid $80 million from North Carolina.""",mostly-true
"""We are incarcerating more children than any time ... since we interned Japanese-Americans during World War II""",mostly-true
"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",TRUE
"At the same time President Trump talks about supporting veterans, ""he is deporting service members who have volunteered to serve this country."" ",mostly-true
"Says ""I disagreed"" with President Obama’s Secure Communities deportation program",half-true
"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",TRUE
"""Not one Democrat showed up to listen to border officials about the dangerous situation at our border. Not one!!! NOT ONE!""",FALSE
"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",TRUE
Position on Trump’s national emergency declaration for border wall funding,full-flop
"""Most people in my home state of Texas disagree with the president building a wall across our border.""",half-true
"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",pants-fire
"Says Hillary Clinton ""doesn’t believe in your right to keep a gun at home for self-defense.""",FALSE
Says President Bill Clinton did not sign NAFTA. ,FALSE
"""I can tell you that the enhanced interrogation techniques that have since been banned by this administration — specifically waterboarding — work.""",FALSE
"""During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country.""",TRUE
" In 2007, when Nancy Pelosi met with President Assad of Syria, ""nobody got upset.""",FALSE
The Republican Party has not won a presidential election without either a Bush or a Nixon on the ticket since 1928. ,TRUE
"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001.""",TRUE
"When Republicans last controlled the presidency and Congress, ""the number of people on food stamps (and) the number of people in low-income housing went through the roof."" ",mostly-true
"Says in 2000, Fox News broke the story of George W. Bush’s drunk driving arrest. ""Who broke it? Fox News.""",half-true
" On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was ""a step forward"" for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.",mostly-true
"""Under President (George W.) Bush, prosecution of gun crimes was 30 percent higher than it is under President Obama.""",barely-true
"""Test scores had gone up steadily for 40 years until No Child Left Behind and Race to the Top.""  ",barely-true
"Says he ""opposed the president’s decision to go into Iraq"" in 2003.",barely-true
"Says President Barack Obama ""has taken 92 days of vacation since he was sworn in,"" compared to 367 for President George W. Bush at the same point in his presidency.",mostly-true
"""During the Bush administration, liberal groups were targeted"" by the IRS, similar to recent targeting.",barely-true
"""When George Bush became president of the United States, 17 million people were in poverty. When he left, 30 million people were in poverty.""",FALSE
"""Sheldon Whitehouse [got] a secret closed-door briefing, warning of the [2008 economic] crash.""",pants-fire
"Says U.S. Senate candidate Tommy Thompson ""admitted"" that Washington, D.C., ""changed"" him into an insider selling his influence to make millions from powerful special interests.",FALSE
"Since President Barack Obama took office, ""you have 1,700 employees just at the Department of Transportation"" earning over $170,000.",FALSE
"""We've brought trade cases against China at nearly twice the rate as the last administration.""",half-true
"Says Obama has ""doubled the stock market from where we started when he was sworn into office""",barely-true
"Says for the first time in the history of the United States, the government cut taxes during wartime",mostly-true
"The Bush tax cuts ""helped to create a substantial part of the deficit.""",TRUE
"Under former President George W. Bush’s administration ""while the population in that period grew by 10 percent, the number of jobs in the nation grew by 1 percent.""",mostly-true
Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.,TRUE
"""I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.""",pants-fire
"Rob Portman’s ""plan to tax, slash and privatize"" Social Security ""would devastate Ohioans.""",barely-true
Twenty-two million jobs were created during Clinton’s two terms but only 3 million during Bush’s.,TRUE
"Marco Rubio's ""economic proposals will add $3.5 trillion to the federal deficit.""",mostly-true
